               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12587,            0.020154,            0.049649,             0.79641,           0.0081633,            0.010919,           0.0035838,             0.11366,            0.019658,            0.040561,              0.0025,              0.0025,              0.0775
                   1,             0.10172,            0.026293,            0.045682,             0.19042,             0.17122,             0.10385,            0.033122,             0.11281,             0.01857,            0.042188,           0.0050663,           0.0050663,            0.054066
                   2,            0.094052,            0.022361,            0.043047,             0.17923,             0.51818,             0.20571,            0.065887,             0.10049,            0.015461,            0.035572,           0.0075984,           0.0075984,            0.030598
                   3,            0.084307,            0.019543,            0.044575,             0.15164,             0.37983,             0.17988,             0.05742,             0.08381,            0.014971,            0.040309,            0.009802,            0.009802,            0.009802
                   4,            0.077099,            0.019393,             0.04262,             0.16835,              0.6609,             0.25556,            0.068676,            0.087436,            0.016974,            0.038338,            0.009802,            0.009802,            0.009802
                   5,            0.071797,            0.017829,             0.04124,             0.54086,             0.38585,             0.35055,             0.14755,             0.06489,              0.0149,            0.035168,            0.009736,            0.009736,            0.009736
                   6,            0.063816,            0.016405,            0.037485,             0.36236,             0.39022,             0.36019,             0.14405,            0.066541,            0.013036,            0.031903,             0.00967,             0.00967,             0.00967
                   7,            0.056721,             0.01532,            0.034263,             0.35085,             0.78576,             0.54201,             0.21912,            0.065467,            0.010691,            0.030651,            0.009604,            0.009604,            0.009604
                   8,            0.057995,            0.014304,            0.032676,             0.36397,              0.7038,             0.56074,              0.2567,            0.055251,             0.00994,            0.026916,            0.009538,            0.009538,            0.009538
                   9,             0.05243,             0.01385,            0.030869,             0.51373,             0.79855,             0.69717,             0.34098,            0.048168,           0.0096124,             0.02308,            0.009472,            0.009472,            0.009472
                  10,            0.053139,             0.01247,            0.027554,             0.42011,             0.74643,             0.51574,             0.22769,            0.055167,           0.0093904,            0.022703,            0.009406,            0.009406,            0.009406
                  11,            0.052769,            0.013365,            0.024981,             0.49231,             0.80141,             0.70989,             0.32124,            0.047645,           0.0087285,            0.020685,             0.00934,             0.00934,             0.00934
                  12,            0.052424,            0.011875,            0.024327,              0.5085,             0.81775,             0.74479,             0.34871,            0.043162,           0.0087964,            0.019484,            0.009274,            0.009274,            0.009274
                  13,            0.051398,            0.012466,             0.02326,             0.75451,             0.78152,             0.82226,             0.36664,            0.042766,           0.0087249,             0.01811,            0.009208,            0.009208,            0.009208
                  14,            0.048964,            0.012402,            0.021491,             0.67633,             0.83295,             0.76907,             0.32297,            0.049201,           0.0085056,            0.016845,            0.009142,            0.009142,            0.009142
                  15,            0.051358,            0.011525,            0.020229,             0.81748,             0.90831,             0.90641,              0.4416,            0.043872,             0.00846,            0.015453,            0.009076,            0.009076,            0.009076
                  16,            0.047584,            0.011337,             0.01887,               0.822,             0.75923,             0.88253,             0.41365,            0.043978,           0.0084173,            0.014034,             0.00901,             0.00901,             0.00901
                  17,            0.048123,            0.012144,            0.019795,             0.79955,              0.8419,             0.85416,             0.41784,            0.048093,           0.0087029,            0.012991,            0.008944,            0.008944,            0.008944
                  18,            0.049491,            0.012083,            0.018107,             0.77737,              0.8421,             0.84864,              0.4144,            0.042973,           0.0084947,            0.013564,            0.008878,            0.008878,            0.008878
                  19,            0.047283,            0.012089,            0.016378,             0.91072,             0.86702,             0.89659,             0.45909,            0.039615,           0.0082251,            0.011196,            0.008812,            0.008812,            0.008812
                  20,            0.046638,            0.011165,            0.014502,             0.91833,             0.84294,             0.88242,             0.44542,             0.04588,           0.0081396,            0.010452,            0.008746,            0.008746,            0.008746
